U,C,L,S,A,G,N,F,W,M,P,D,B,Y,U,K,O,H,V,R
0,26,15,9,26,12,0.33,5,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
0.5,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0.5,1,1,0,0.5
1,1,0,1,1,1,1,0.5,1,0.5,0,1,1,1,1,1,1,0,1,0.5
1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0.5
0,0.5,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0.5
1,0.5,1,1,0,1,0.5,0.5,0.5,1,1,1,0,1,0,1,1,1,1,0.5
1,1,0,0.5,1,0,1,0.5,1,0,0,0.5,0.5,1,0.5,0,1,0,0,0.5
0,0,1,0,0,1,1,0.5,0,0,1,1,0,0,0,1,1,0,0,0.5
1,0.5,0,0.5,1,0,1,0.5,1,0,0,1,1,1,1,0,0,0.5,1,0.5
1,1,1,1,0,1,1,0,1,0.5,1,1,0,0,0,0,1,1,0,0.5
0.5,0.5,0,0,1,0,1,1,1,0,0,0,0.5,1,1,0,0,0.5,1,0.5
1,0,1,0,0,1,1,0.5,0,0.5,0.5,1,1,1,0,1,1,0.5,0,0.5
0,1,0,1,1,0,0,0,1,1,0,0,0.5,0,0.5,0,0,0,0,0.5
1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0.5
1,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0.5
1,1,1,1,0.5,1,0,1,1,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0.5
1,1,0,0,0,0.5,0,1,0,0,0,0,0.5,0.5,1,0,1,0,1,0.5
1,0.5,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0.5
1,1,0,0.5,1,0,1,1,1,1,0,0,1,0.5,1,0,0.5,0,1,0.5
0,0,1,0,0,0,0.5,0,1,1,0,1,0,1,0,1,0,1,1,0.5
1,0,1,0.5,0,1,0,0,0.5,1,1,1,0,0,0,1,1,0.5,0,0.5
0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0.5,0.5
1,0,1,0.5,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.5
1,0,1,1,0,1,0,0,1,0,0.5,1,0,0,0,1,0,0,0,0.5
1,0,1,1,0,1,0,0.5,0,1,1,1,0,0,0,1,1,1,1,0.5
0,0,0,0,1,0,1,0,0.5,0,0,0,0,1,0,0,0,0,0.5,0.5
0.5,0.5,1,1,1,1,1,0,1,0,1,1,0.5,0,0,1,1,1,0,0.5
1,1,0,1,1,0,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5
1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5
0.5,0,1,1,0,0,1,0.5,1,0,1,1,1,1,0,1,0,1,0,0.5
0,1,0,0.5,1,0,1,1,1,0,1,0,0.5,1,1,0,0,1,1,0.5
1,1,1,1,0,1,0,1,1,0.5,1,1,0.5,0,0.5,0,0,1,0,0.5
1,0,1,1,0,1,0.5,0,1,0.5,1,1,1,0,0,1,1,0,0,0.5
0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0.5
1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0.5
1,1,1,0.5,0,1,0,0,1,1,1,1,0.5,0,0,1,0.5,1,0,0.5
0,1,0,0,1,0,1,0,0.5,0,0,0,1,0.5,0,0,0,0,0,0.5
1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0.5,0,0.5
0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0.5